"Last updated","Type","Suburb","Venue","Date and time of exposure","Health advice"
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shellharbour","Cotton On ShellharbourShop 226 Lake Entrance Road","3:35pm to 3:50pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shellharbour","Daisy's Nails and Beauty ShellharbourShop 224 Stockland Shellhabour","2:30pm to 3:30pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shellharbour","Spendless ShellharbourShop 227/211 Lake Entrance Road","3:25pm to 3:40pm on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","South Grafton","Sullivan Nicolaides Pathology South GraftonShop 9, 94 Bent Street","2:30pm to 3:15pm on Wednesday 13 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Tamworth","Kings Brake Service541 Peel Street","2:10pm to 2:40pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Taree","Centrelink and MedicareTaree184-188 Victoria Street","1:05pm to 2:10pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Toronto","Woolworths TorontoCornor Pemell Street and Brighton Avenue","8pm to 8:35pm on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Towradgi","Bottlemart Towradgi Beach Hotel170 Pioneer Road","12:45pm to 12:55pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Walgett","IGA Plus Liquor Walgett36 Fox Street","1:35pm to 1:40pm on Sunday 10 October 202110:05am to 10:30am on Sunday 10 October 202111:40am to 12pm (noon) on Friday 8 October 202110:25am to 10:40am on Thursday 7 October 20213pm to 3:30pm on Thursday 7 October 20214:55pm to 5:20pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Warrawong","Commonwealth Bank Warrawong174 Cowper Street","1:30pm to 1:40pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wellington","Wellington Advantage Pharmacy12 Nanima Crescent","9am to 5:30pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wollongong","Spotlight Wollongong281 Crown Street","12:50pm to 1:20pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"15/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Worrigee","FoodWorks Worrigee60 Isa Road","12:30pm to 12:45pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albion Park","Calder's General Store152 Terry Street","4:35pm to 4:45pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albion Park","The Reject Shop Albion ParkShop 1, Albion Park Shopping Village, 93 Terry Street","1:30pm to 1:45pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Bonds AlburyWestend Plaza, 487 Kiewa Street","1pm to 1:25pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albury","Zed Bar586 Dean Street","8:45pm to 11:30pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Ballina","Ballina Fair Shopping Centre84 Kerr Street","6am to 2pm on Friday 8 October 20216am to 2pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bega","Coles BegaCorner of Parker Street and Carp Street","12:15pm to 1pm on Friday 8 October 20212:45pm to 3:45pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bellambi","Sam and Nics IGA Xpress36 Cawley Street","8:10am to 8:20am on Thursday 7 October 20219am to 9:10am on Tuesday 5 October 202111:35am to 11:45am on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bomaderry","IGA Lyndhurst and Liquor Bomaderry8/43 Lyndhurst Drive","12:25pm to 12:35pm on Saturday 9 October 20217:50am to 7:55am on Friday 8 October 20217:45am to 7:55am on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Callala Bay","Cellarbrations Callala BayShop 12/55 Emmett Street","4:10pm to 4:15pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Charmhaven","Bunnings Lake HavemCorner of Chelmsford Road and Pacific Highway","9:15am to 12pm (noon) on Friday 8 October 20212:55pm to 7:05pm on Wednesday 6 October 20212:55pm to 7:05pm on Tuesday 5 October 202112:40pm to 1:20pm on Saturday 2 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Cooma","Coles CoomaCentennial Plaza, 85/91 Commissioner Street","6:10pm to 7pm on Friday 8 October 20216:30pm to 6:50pm on Monday 4 October 20211:15pm to 1:35pm on Thursday 30 September 20211:15pm to 2pm on Wednesday 29 September 20211:45pm to 2:15pm on Tuesday 28 September 20213:50pm to 4:40pm on Monday 27 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Fairy Meadow","Coles Fairy MeadowThe New Ambience, Elliotts Road","8:30am to 1:30pm on Tuesday 5 October 202111am to 4pm on Sunday 3 October 20219am to 2pm on Saturday 2 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Figtree","Woolworths Figtree19 Princes Highway","1:55pm to 2:10pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Goulburn","Goulburn Square217 Auburn Street","12pm (noon) to 1:45pm on Monday 11 October 20211:55pm to 2:55pm on Monday 4 October 20211pm to 2pm on Saturday 2 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Blooms The Chemist GraftonGrafton Shoppingworld, Corner of Villiers Street and Fitzroy Street","9:30am to 10am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Grafton Shopping World - Food courtGrafton Shoppingworld, Corner of Villiers Street and Fitzroy Street","10am to 10:15am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","BIG W Kempsey91 Smith Street","9:15am to 10:30am on Sunday 10 October 20215:50pm  to 6:15pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","Kempsey Fast Food108-112 Smith Street","3:50am to 4:15am on Sunday 10 October 20218:10pm  to 8:20pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Kempsey","McDonald's KempseySmith Street","3:10pm to 3:25pm on Monday 11 October 20216:20pm to 6:40pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lavington","Woolworths Lavington337-363 Griffith Road","10:55am to 12pm (noon) on Wednesday 13 October 20219:10pm to 9:53pm on Tuesday 12 October 20219am to 9:30am on Tuesday 12 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lismore","BWS Lismore203 Keen Street","12:30pm to 12:40pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lismore","Northside Liberty Petrol Station Lismore78 Terania Street","1:30pm to 1:35pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Lismore","Paul Standish OrthodonistShop 4, 17 Orion Street","3:55pm to 4:15pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Mittagong","BIG W Mittagong197 Old Hume Highway","2:30pm to 3:30pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Mittagong","Woolworths MittagongHighlands Marketplace, 197 Old Hume Highway","3:35pm to 4pm on Friday 8 October 20213:20pm to 3:35pm on Thursday 7 October 20212:35pm to 3pm on Tuesday 5 October 20212:45pm to 3pm on Monday 4 October 20214:20pm to 6:05pm on Friday 1 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Moama","Moama Bowling Club6 Shaw Street","12:15pm to 3pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","New Lambton Heights","Newcastle Obstetrics Specialist Ultrasound, Newcastle Private HospitalSuite 2.8 Level 2 Lookout Road","9:20am to 10am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","North Wollongong","TAFE WollongongFoleys Lane","9am to 1pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Oak Flats","Kennards Hire Oak Flats125 Industrial Road","10:15am to 10:25am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Oak Flats","Oak Flats Hot Bread Shop1/69 Central Avenue","11:25am to 11:30am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","Barber Industries OrangeShop 35/190 Anson Street","8:30am to 5:30pm on Wednesday 6 October 20218:30am to 12:30pm on Monday 4 October 202110am to 3pm on Sunday 3 October 20218:30am to 4pm on Saturday 2 October 20211pm to 7pm on Thursday 30 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","BCF Orange10/168 Lone Pine Avenue","11:50am to 12:15pm on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","BIG W OrangeAnson Streets and Kite Street","5:40pm to 6:10pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","Fantastic Furniture OrangeOrange Homemaker Centre, 200 Lone Pine Avenue","4:50pm to 5:10pm on Wednesday 13 October 202111:15am to 11:30am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Orange","Kmart Orange227 Summer Street","9:20am to 10am on Monday 11 October 202112:10pm to 12:45pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Port Macquarie","BIG W Port MacquarieCorner of Bay Street and Park Street","11am to 12pm (noon) on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Port Macquarie","Bunnings Port Macquarie18 John Oxley Drive","12pm (noon) to 1pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Raymond Terrace","Cincotta Discount Chemist Raymond Terrace13/80 Benjamin Lee Drive","1:10pm to 1:20pm on Friday 8 October 20211:25pm to 1:35pm on Friday 8 October 20211:55pm to 2:05pm on Friday 8 October 202112:50pm to 1pm on Friday 8 October 20212:40pm to 2:45pm on Friday 8 October 20214:55pm to 5:25pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Raymond Terrace","Raymond Terrace Respiratory Clinic4 Jacaranda Avenue","6:55pm to 7:30pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shellharbour","Chemist Warehouse ShellharbourShop 9A Shellharbour Retail Park, Lake Entrance Road","10:10am to 10:25am on Sunday 10 October 20214:15pm to 4:35pm on Saturday 2 October 20213pm to 3:10pm on Friday 1 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Shellharbour","Jaycar Electronics ShellharbourShop 1/4 Range Road","3:35pm to 3:55pm on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Singleton","BIG W SingletonSingleton Square, Corner of John Street and Gowrie Street","4:50pm to 6:15pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","South Nowra","Bishops South Nowra21 Bellevue Street","1:45pm to 1:50pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","South Nowra","Good Price Pharmacy Warehouse South Nowra8/28 Central Avenue","1:55pm to 2:10pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Tamworth","BIG W TamworthTamworth Shopping World, Bridge Street and Denne Street","10:50am to 11:20am on Wednesday 6 October 20214:25pm to 7:30pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","The Junction","Coles NewcastleJunction Fair, 204 Union Street","9am to 9:30am on Thursday 7 October 20217pm to 7:15pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Unanderra","Subway UnanderraShop 7/2 Tannery Street","10:15am to 10:30am on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Unanderra","Woolworths Unanderra4-8 Tannery Street","1:25pm to 1:40pm on Monday 11 October 20219:10am to 9:15am on Tuesday 5 October 202111am to 11:30am on Saturday 2 October 20211pm to 2:10pm on Tuesday 28 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Walgett","Stones Throw Walgett58 Fox Street","9:05am to 9:20am on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Walgett","Walgett Newsagency56 Fox Street","11am to 11:45am on Saturday 9 October 20217:45am to 8:30am on Thursday 7 October 20217:45am to 8:30am on Wednesday 6 October 20218am to 8:15am on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wallsend","Laverty Pathology55 Nelson Street","9:40am to 10am on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Warrawong","Fins Fangs 'N' Feathers Warrawong74 King Street","3:40pm to 3:50pm on Friday 8 October 20211:35pm to 1:50pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wellington","Coles Wellington128/140 Percy Street","1:20pm to 1:30pm on Monday 11 October 20217:25pm to 7:30pm on Saturday 9 October 20219:45am to 10:05am on Saturday 9 October 20213:35pm to 4:45pm on Friday 8 October 20219:30pm to 9:40pm on Thursday 7 October 20218:10pm to 8:30pm on Wednesday 6 October 20218:15am to 8:45am on Saturday 2 October 202110:55am to 11:25am on Friday 1 October 20217:15pm to 7:45pm on Friday 1 October 20219:15pm to 9:45pm on Friday 1 October 202112:10pm to 12:15pm on Monday 27 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"14/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Wellington","Federal Hotel Wellington100 Arthur Street","5:10pm to 5:30pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Albion Park","Subway Albion Park10 Terry Street","10:45am to 10:50am on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Bellambi","Bellambi Motors81 Pioneer Road","8am to 1:35pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Cessnock","The Chemist Cessnock52A Vincent Street","8:30am to 8:40am on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Cessnock","Woolworths CessnockCooper Street","4:50pm to 5:15pm on Monday 4 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Corrimal","Specsavers Optometrists and Audiology CorrimalShop 30-32 Stockland, 270 Princes Highway","11:15am to 11:35pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Deniliquin","Coles Deniliquin104 Harding Street","2:45pm to 3:45pm on Monday 11 October 202111:45am to 12:45pm on Tuesday 5 October 20218:15pm to 9pm on Wednesday 29 September 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","BIG W DubboWheelers Lane","9:55am to 10:25am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Coles DubboBultje Street","11:05am to 11:15am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Dubbo City Regional AirportCooreena Road","8:30am to 9am on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Supercheap Auto Dubbo16 Cobbora Road","10:40am to 11:20am on Monday 11 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Dubbo","Woolworths Dubbo56 Windsor Parade","10:35am to 10:45am on Sunday 10 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Erina","Platypus Shoes ErinaErina Fair, Terrigal Drive","9:30am to 5:30pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Aldi Grafton163-169 Prince Street","6:50pm to 7:30pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","BIG W GraftonGrafton Shoppingworld, Corner of Villiers Street and Fitzroy Street","10:50am to 11:25am on Saturday 9 October 20215:30pm to 5:40pm on Thursday 7 October 20213:40pm to 4:10pm on Tuesday 5 October 20214:30pm to 5pm on Tuesday 5 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Bunnings Grafton1251 Big River Way","1pm to 1:25pm on Saturday 9 October 20216:35pm to 7:10pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Coles Grafton - Grafton Shopping WorldGrafton Shopping World","5:40pm to 6pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Coles Grafton - King StreetKing Street","3:30pm to 4:15pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Commonwealth Bank Grafton28 Prince Street","8am to 4:30pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Dan Murphy’s GraftonGrafton Shoppingworld, Corner of Villiers Street and Fitzroy Street","4:20pm to 4:35pm on Friday 8 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Grafton Olympic PoolOliver and Turf Street","12:50pm to 3:30pm on Saturday 9 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Grafton Twilight Farmers MarketPrince Street","5:50pm to 6:35pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","IT River GraftonSuite 6, 105 Pound Street","12:30pm to 4:20pm on Friday 8 October 20214:50pm to 5:20pm on Friday 8 October 20219:25am to 12:15pm on Friday 8 October 20211:40pm to 2pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Robins Kitchen GraftonGrafton Shoppingworld, Corner of Villiers Street and Fitzroy Street","5:35pm to 5:45pm on Thursday 7 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Grafton","Woolworths GraftonGrafton Shoppingworld, 52-74 Fitzroy Street","12:20pm to 12:30pm on Friday 8 October 20214:30pm to 5pm on Sunday 3 October 20215pm to 5:30pm on Friday 1 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
"13/10/2021","Get tested immediately. Self-isolate until you get a negative result.","Hamilton","Newcastle Permanent122 Beaumont Street","11:55am to 11:57am on Wednesday 6 October 202112:20pm to 12:35pm on Wednesday 6 October 2021","Anyone who attended this venue is a casual contact and must get tested and self-isolate until they receive a negative result. You may be required to get more than one test."
